country,year,population_total,internet_use,suicide_total,GDP,cell_use
Afghanistan,1990,12400000,0.0,703.0,1860.0,0.0
Albania,1990,3290000,0.0,127.0,4460.0,0.0
Algeria,1990,25800000,0.0,806.0,10300.0,470.0
Andorra,1990,54500,0.0,5.45,28400.0,0.0
Angola,1990,11800000,0.0,645.0,4760.0,0.0
Antigua and Barbuda,1990,62500,0.0,1.27,17500.0,0.0
Argentina,1990,32600000,0.0,3300.0,11400.0,12000.0
Armenia,1990,3540000,0.0,134.0,3740.0,0.0
Australia,1990,17000000,0.585,2360.0,28700.0,185000.0
Austria,1990,7720000,0.13,1960.0,31300.0,73700.0
Azerbaijan,1990,7240000,0.0,206.0,8790.0,0.0
Bahamas,1990,256000,0.0,6.64,31000.0,1920.0
Bahrain,1990,496000,0.0,34.6,35100.0,5150.0
Bangladesh,1990,103000000,0.0,12500.0,1330.0,0.0
Barbados,1990,261000,0.0,11.6,14100.0,0.0
Belarus,1990,10200000,0.0,2470.0,8370.0,0.0
Belgium,1990,10000000,0.00101,2250.0,30600.0,42900.0
Belize,1990,188000,0.0,7.19,5120.0,0.0
Benin,1990,4980000,0.0,299.0,1460.0,0.0
Bhutan,1990,531000,0.0,36.0,2350.0,0.0
Bolivia,1990,6860000,0.0,446.0,3700.0,0.0
Bosnia and Herzegovina,1990,4460000,0.0,558.0,2750.0,0.0
Botswana,1990,1290000,0.0,148.0,8500.0,0.0
Brazil,1990,149000000,0.0,8920.0,10300.0,667.0
Brunei,1990,259000,0.0,10.3,84700.0,1770.0
Bulgaria,1990,8840000,0.0,1600.0,9300.0,0.0
Burkina Faso,1990,8810000,0.0,594.0,844.0,0.0
Burundi,1990,5440000,0.0,597.0,1030.0,0.0
Cambodia,1990,8980000,0.0,474.0,863.0,0.0
Cameroon,1990,11800000,0.0,796.0,3000.0,0.0
Canada,1990,27500000,0.361,3930.0,31400.0,584000.0
Cape Verde,1990,338000,0.0,31.5,1680.0,0.0
Central African Republic,1990,2810000,0.0,249.0,983.0,0.0
Chad,1990,5960000,0.0,258.0,1110.0,0.0
Chile,1990,13300000,0.0,2440.0,8970.0,13900.0
China,1990,1180000000,0.0,237000.0,1520.0,18300.0
Colombia,1990,33100000,0.0,1800.0,7730.0,0.0
Comoros,1990,412000,0.0,18.7,2580.0,0.0
"Congo, Dem. Rep.",1990,34600000,0.0,1940.0,1390.0,0.0
"Congo, Rep.",1990,2360000,0.0,196.0,5320.0,0.0
Costa Rica,1990,3120000,0.0,166.0,7740.0,0.0
Cote d'Ivoire,1990,11900000,0.0,901.0,3290.0,0.0
Croatia,1990,4780000,0.0,1250.0,17500.0,240.0
Cuba,1990,10600000,0.0,2180.0,6860.0,0.0
Cyprus,1990,767000,0.0,39.8,22500.0,3160.0
Czech Republic,1990,10300000,0.0,2210.0,20000.0,0.0
Denmark,1990,5140000,0.0973,1520.0,33800.0,148000.0
Djibouti,1990,590000,0.0,18.6,3150.0,0.0
Dominica,1990,70400,0.0,2.03,6660.0,0.0
Dominican Republic,1990,7130000,0.0,268.0,5520.0,3170.0
Ecuador,1990,10200000,0.0,551.0,7460.0,0.0
Egypt,1990,56100000,0.0,1700.0,5900.0,4000.0
El Salvador,1990,5270000,0.0,650.0,4510.0,0.0
Equatorial Guinea,1990,419000,0.0,38.3,1770.0,0.0
Eritrea,1990,2260000,0.0,231.0,1250.0,0.0
Estonia,1990,1570000,0.0,471.0,14300.0,0.0
Eswatini,1990,822000,0.0,78.3,5630.0,0.0
Ethiopia,1990,47900000,0.0,4540.0,655.0,0.0
Fiji,1990,729000,0.0,82.3,5890.0,0.0
Finland,1990,5000000,0.401,1550.0,28900.0,258000.0
France,1990,56700000,0.0528,15000.0,29500.0,283000.0
Gabon,1990,949000,0.0,85.6,19600.0,0.0
Gambia,1990,956000,0.0,31.6,1450.0,0.0
Georgia,1990,5410000,0.0,305.0,7980.0,0.0
Germany,1990,79100000,0.126,14500.0,31300.0,273000.0
Ghana,1990,14800000,0.0,587.0,1900.0,0.0
Greece,1990,10200000,0.0,445.0,20700.0,0.0
Grenada,1990,96300,0.0,4.37,7240.0,150.0
Guatemala,1990,9260000,0.0,597.0,5100.0,293.0
Guinea,1990,6350000,0.0,244.0,1340.0,0.0
Guinea-Bissau,1990,975000,0.0,66.7,1630.0,0.0
Guyana,1990,743000,0.0,144.0,2880.0,0.0
Haiti,1990,7040000,0.0,579.0,2110.0,0.0
Holy See,1990,762,,,,
Honduras,1990,4960000,0.0,147.0,3210.0,0.0
Hungary,1990,10400000,0.0,4220.0,17200.0,2650.0
Iceland,1990,255000,0.0,39.1,30100.0,10000.0
India,1990,873000000,0.0,164000.0,1910.0,0.0
Indonesia,1990,181000000,0.0,6050.0,4630.0,18100.0
Iran,1990,56400000,0.0,2890.0,11400.0,0.0
Iraq,1990,17400000,0.0,1020.0,11600.0,0.0
Ireland,1990,3510000,0.0,367.0,21700.0,25000.0
Israel,1990,4450000,0.111,402.0,20700.0,15200.0
Italy,1990,57000000,0.0175,5500.0,31100.0,266000.0
Jamaica,1990,2420000,0.0,35.1,7300.0,0.0
Japan,1990,125000000,0.0203,24600.0,30600.0,868000.0
Jordan,1990,3570000,0.0,118.0,6290.0,1440.0
Kazakhstan,1990,16400000,0.0,3700.0,13100.0,0.0
Kenya,1990,23700000,0.0,848.0,2350.0,0.0
Kiribati,1990,72400,0.0,15.7,1940.0,0.0
Kuwait,1990,2100000,0.0,38.1,40100.0,20700.0
Kyrgyz Republic,1990,4370000,0.0,602.0,3480.0,0.0
Lao,1990,4260000,0.0,530.0,1710.0,0.0
Latvia,1990,2660000,0.0,822.0,14600.0,0.0
Lebanon,1990,2800000,0.0,103.0,5580.0,0.0
Lesotho,1990,1700000,0.0,271.0,1300.0,0.0
Liberia,1990,2080000,0.0,120.0,957.0,0.0
Libya,1990,4440000,0.0,137.0,22800.0,0.0
Liechtenstein,1990,28800,0.0,,,0.0
Lithuania,1990,3700000,0.0,1180.0,15600.0,0.0
Luxembourg,1990,382000,0.0,77.4,57600.0,824.0
Madagascar,1990,11600000,0.0,721.0,1650.0,0.0
Malawi,1990,9400000,0.0,503.0,747.0,0.0
Malaysia,1990,18000000,0.0,1280.0,10600.0,86600.0
Maldives,1990,223000,0.0,13.6,6380.0,0.0
Mali,1990,8450000,0.0,294.0,1270.0,0.0
Malta,1990,362000,0.0,20.5,16200.0,0.0
Marshall Islands,1990,47300,0.0,7.56,2910.0,0.0
Mauritania,1990,2030000,0.0,69.7,2800.0,0.0
Mauritius,1990,1060000,0.0,136.0,7580.0,2200.0
Mexico,1990,83900000,0.0,2980.0,13600.0,63900.0
"Micronesia, Fed. Sts.",1990,96300,0.0,17.2,2720.0,0.0
Moldova,1990,4370000,0.0,827.0,7820.0,0.0
Monaco,1990,29400,0.0,,,0.0
Mongolia,1990,2180000,0.0,337.0,5120.0,0.0
Montenegro,1990,615000,0.0,62.9,18300.0,0.0
Morocco,1990,24800000,0.0,992.0,3920.0,904.0
Mozambique,1990,13000000,0.0,955.0,386.0,0.0
Myanmar,1990,41300000,0.0,3060.0,730.0,0.0
Namibia,1990,1430000,0.0,152.0,5710.0,0.0
Nauru,1990,9510,0.0,,,0.0
Nepal,1990,18900000,0.0,2250.0,1190.0,0.0
Netherlands,1990,15000000,0.33399999999999996,2010.0,32300.0,79000.0
New Zealand,1990,3400000,0.0,487.0,24000.0,54100.0
Nicaragua,1990,4170000,0.0,220.0,2970.0,0.0
Niger,1990,8030000,0.0,267.0,893.0,0.0
Nigeria,1990,95200000,0.0,3730.0,3360.0,0.0
North Korea,1990,20300000,0.0,2290.0,2390.0,0.0
North Macedonia,1990,2000000,0.0,185.0,9630.0,0.0
Norway,1990,4250000,0.7070000000000001,700.0,42800.0,197000.0
Oman,1990,1810000,0.0,41.8,35000.0,2730.0
Pakistan,1990,108000000,0.0,3450.0,3060.0,2000.0
Palau,1990,15100,0.0,,,0.0
Palestine,1990,2100000,0.0,42.9,2630.0,0.0
Panama,1990,2470000,0.0,128.0,7860.0,0.0
Papua New Guinea,1990,4620000,0.0,655.0,2220.0,0.0
Paraguay,1990,4220000,0.0,130.0,7930.0,0.0
Peru,1990,22100000,0.0,754.0,5250.0,1650.0
Philippines,1990,61900000,0.0,6790.0,4010.0,0.0
Poland,1990,38000000,0.0,5740.0,10300.0,0.0
Portugal,1990,9900000,0.0,1570.0,20200.0,6500.0
Qatar,1990,476000,0.0,38.8,70600.0,3810.0
Romania,1990,23500000,0.0,2420.0,11400.0,0.0
Russia,1990,148000000,0.0,46000.0,20600.0,0.0
Rwanda,1990,7290000,0.0,581.0,868.0,0.0
Samoa,1990,163000,0.0,25.2,3650.0,0.0
San Marino,1990,24100,0.0,,,0.0
Sao Tome and Principe,1990,119000,0.0,1.91,2040.0,0.0
Saudi Arabia,1990,16200000,0.0,332.0,42700.0,14900.0
Senegal,1990,7530000,0.0,425.0,2320.0,0.0
Serbia,1990,9520000,0.0,1890.0,15000.0,0.0
Seychelles,1990,70600,0.0,11.0,14200.0,0.0
Sierra Leone,1990,4320000,0.0,151.0,1250.0,0.0
Singapore,1990,3010000,0.0,440.0,34900.0,51700.0
Slovak Republic,1990,5290000,0.0,866.0,14600.0,0.0
Slovenia,1990,2010000,0.0,665.0,18900.0,0.0
Solomon Islands,1990,312000,0.0,47.0,1880.0,0.0
Somalia,1990,7230000,0.0,325.0,930.0,0.0
South Africa,1990,36800000,0.0,6170.0,9900.0,5680.0
South Korea,1990,42900000,0.0233,5720.0,11600.0,80000.0
South Sudan,1990,5490000,0.0,182.0,2100.0,0.0
Spain,1990,39200000,0.0129,3480.0,23800.0,54700.0
Sri Lanka,1990,17300000,0.0,6360.0,3610.0,1010.0
St. Kitts and Nevis,1990,40300,0.0,,,0.0
St. Lucia,1990,138000,0.0,7.79,9630.0,0.0
St. Vincent and the Grenadines,1990,107000,0.0,5.15,5580.0,0.0
Sudan,1990,20100000,0.0,726.0,1760.0,0.0
Suriname,1990,405000,0.0,65.6,10400.0,0.0
Sweden,1990,8570000,0.584,1840.0,31000.0,461000.0
Switzerland,1990,6650000,0.596,1860.0,48200.0,125000.0
Syria,1990,12400000,0.0,226.0,4220.0,0.0
Tajikistan,1990,5280000,0.0,274.0,3660.0,0.0
Tanzania,1990,25200000,0.0,1480.0,1550.0,0.0
Thailand,1990,56600000,0.0,7410.0,6650.0,63200.0
Timor-Leste,1990,738000,0.0,72.1,2590.0,0.0
Togo,1990,3770000,0.0,237.0,1300.0,0.0
Tonga,1990,95100,0.0,6.14,3580.0,0.0
Trinidad and Tobago,1990,1220000,0.0,155.0,10900.0,0.0
Tunisia,1990,8240000,0.0,242.0,5610.0,953.0
Turkey,1990,53900000,0.0,2080.0,11400.0,31800.0
Turkmenistan,1990,3680000,0.0,296.0,8320.0,0.0
Tuvalu,1990,8910,0.0,,,0.0
Uganda,1990,17400000,0.0,1760.0,773.0,0.0
Ukraine,1990,51500000,0.0,12500.0,10500.0,0.0
United Arab Emirates,1990,1830000,0.0,70.8,112000.0,33600.0
United Kingdom,1990,57100000,0.0874,6320.0,26700.0,1110000.0
United States,1990,252000000,0.785,34600.0,36800.0,5280000.0
Uruguay,1990,3110000,0.0,387.0,9840.0,0.0
Uzbekistan,1990,20400000,0.0,1610.0,3090.0,0.0
Vanuatu,1990,147000,0.0,21.8,2550.0,0.0
Venezuela,1990,19600000,0.0,1160.0,14600.0,7420.0
Vietnam,1990,68000000,0.0,6180.0,1460.0,0.0
Yemen,1990,11700000,0.0,464.0,3430.0,0.0
Zambia,1990,8040000,0.0,416.0,2340.0,0.0
Zimbabwe,1990,10400000,0.0,728.0,2820.0,0.0
Afghanistan,1991,13300000,0.0,754.0,1650.0,0.0
Albania,1991,3280000,0.0,130.0,3230.0,0.0
Algeria,1991,26400000,0.0,822.0,9930.0,4780.0
Andorra,1991,56700,0.0,5.82,28000.0,0.0
Angola,1991,12200000,0.0,653.0,4650.0,0.0
Antigua and Barbuda,1991,63400,0.0,1.3,17600.0,0.0
Argentina,1991,33100000,0.0,3420.0,12200.0,25000.0
Armenia,1991,3510000,0.0,136.0,3340.0,0.0
Australia,1991,17200000,1.1,2380.0,28200.0,291000.0
Austria,1991,7770000,0.259,1940.0,32100.0,115000.0
Azerbaijan,1991,7360000,0.0,209.0,8590.0,0.0
Bahamas,1991,261000,0.0,6.88,29200.0,2020.0
Bahrain,1991,510000,0.0,36.9,38000.0,7350.0
Bangladesh,1991,106000000,0.0,12600.0,1340.0,0.0
Barbados,1991,262000,0.0,12.4,13500.0,486.0
Belarus,1991,10200000,0.0,2630.0,8260.0,0.0
Belgium,1991,10000000,0.0201,2260.0,31100.0,51400.0
Belize,1991,191000,0.0,7.68,5600.0,0.0
Benin,1991,5150000,0.0,319.0,1470.0,0.0
Bhutan,1991,535000,0.0,35.4,2330.0,0.0
Bolivia,1991,7010000,0.0,458.0,3820.0,295.0
Bosnia and Herzegovina,1991,4370000,0.0,553.0,2420.0,0.0
Botswana,1991,1330000,0.0,155.0,8860.0,0.0
Brazil,1991,152000000,0.00329,9090.0,10300.0,6700.0
Brunei,1991,266000,0.0,10.7,84900.0,3030.0
Bulgaria,1991,8770000,0.0,1630.0,8600.0,0.0
Burkina Faso,1991,9050000,0.0,593.0,897.0,0.0
Burundi,1991,5560000,0.0,611.0,1050.0,0.0
Cambodia,1991,9290000,0.0,486.0,896.0,0.0
Cameroon,1991,12100000,0.0,842.0,2800.0,0.0
